id,type,latitude,longitude,date,killedOrWounded,title,description,sources,imageUrl,imageCaption,videoUrl,videoCaption
89,incident,31.517,34.45,2024-09-11,5,"3 killed, 2 wounded",Israeli airstrike hit people outside a bakery in Gaza City. Sources report three killed and others wounded. We recorded two wounded.,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://wafa.ps/Pages/Details/103431"" target=""_blank"">Wafa</a>",,,,
90,incident,31.517,34.45,2024-09-13,3,3 wounded,Israeli airstrike hit people outside a bakery in Gaza City. Sources report between one and four people wounded. We recorded three. ,"<a href=""https://www.facebook.com/reel/919590933538155/?locale=cx_PH"" target=""_blank"">PRCS</a><br><a href=""https://www.alaraby.com/news/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D9%86%D8%B3%D9%81-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D8%B9%D9%84%D9%89-%D8%AC%D8%A7%D9%86%D8%A8%D9%8A-%D9%85%D8%AD%D9%88%D8%B1-%D9%86%D8%AA%D8%B3%D8%A7%D8%B1%D9%8A%D9%85"" target=""_blank"">Al Araby</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
91,incident,31.32,34.27,2024-09-16,30,"6 killed, 24 wounded","Israeli airstrike hit people outside a bakery in al-Mawasi, which Israeli authorities had declared a ""humanitarian zone"", killing at least six, including two children. Reports say dozens of others were injured. The Israeli military said they were targeting a senior Islamic Jihad militant. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.aljazeera.net/news/2024/9/16/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-5-%D8%A8%D9%8A%D9%86%D9%87%D9%85-%D8%B7%D9%81%D9%84%D8%A9-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D8%BA%D8%B2%D8%A9-%D9%85%D9%82%D8%AA%D9%84-4-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D8%A8%D9%8A%D9%86%D9%87%D9%85-%D8%B7%D9%81%D9%84%D8%A9-%D8%A8%D9%82%D8%B5%D9%81-%D9%85%D8%AE%D8%A8%D8%B2-%D8%A8%D8%AE%D8%A7%D9%86-%D9%8A%D9%88%D9%86%D8%B3/3331469"" target=""_blank"">Anadolu</a><br><a href=""https://snd.ps/post/124584/%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B5%D9%8A-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D9%85%D8%AE%D8%A8%D8%B2-%D9%84%D9%84%D9%86%D8%A7%D8%B2%D8%AD%D9%8A%D9%86-%D8%BA%D8%B1%D8%A8-%D8%AE%D8%A7%D9%86"" target=""_blank"">Sanad</a>",,,,
92,event,,,2024-10-02,,"First total siege of Jabalia, Beit Lahia, and Beit Hanoun",Israel begins blocking the entry of all aid into the northernmost areas of Gaza ahead of a major military operation. The total siege last from 2 October to 7 November,"<a href=""https://www.ochaopt.org/content/humanitarian-situation-update-229-gaza-strip"" target=""_blank"">OCHA</a><br><a href=""https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-access-snapshot-gaza-strip-october-2024"" target=""_blank"">OCHA</a><br><a href=""https://www.oxfam.org/en/press-releases/just-twelve-aid-trucks-food-and-water-north-gaza-governorate-25-months"" target=""_blank"">Oxfam</a>",,,,
93,incident,31.54,34.5,2024-10-05,3,3 killed,Israeli airstrike hit a water tanker and people collecting water in Jabalia. Sources estimate three killed.,"<a href=""https://english.wafa.ps/Pages/Details/149956"" target=""_blank"">Wafa</a><br><a href=""https://www.wattan.net/ar/news/446391.html"" target=""_blank"">Wattan</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
94,event,,,2024-10-06,,"Israeli military launches major operation in Jabalia, Beit Lahia, and Beit Hanoun","The siege and assault appear to match the description and objectives of the ""General's Plan"", a strategy proposed by a group of retired military officers who advocated laying siege to the north to force those who remained, whether civilians or militants, to ""surrender or starve"".",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2025-09/04GazaDataIMG.jpg.webp?itok=2PNZ98lQ,Amir Cohen/Reuters,,
95,incident,31.2725,34.25861,2024-10-08,10,"8 killed, 2 wounded",Israeli drone strike hit people collecting water in Rafah. Sources do not specify the number of people injured. We recorded two.,"<a href=""https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D9%82%D8%AA%D9%84-8-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D9%85%D8%AD%D8%B7%D8%A9-%D8%AA%D8%B9%D8%A8%D8%A6%D8%A9-%D9%85%D9%8A%D8%A7%D9%87-%D8%AC%D9%86%D9%88%D8%A8%D9%8A-%D8%BA%D8%B2%D8%A9/3355075"" target=""_blank"">Anadolu</a><br><a href=""https://www.alaraby.com/news/%D8%A7%D9%84%D8%B9%D9%86%D9%82%D8%A7%D8%A1-%D8%AA%D8%B3%D8%AA%D8%B9%D9%8A%D8%AF-%D8%B9%D8%A7%D9%81%D9%8A%D8%AA%D9%87%D8%A7-%D8%AE%D8%A7%D9%84%D8%AF-%D9%85%D8%B4%D8%B9%D9%84-%D9%82%D9%88%D8%A9-%D8%AD%D9%85%D8%A7%D8%B3-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D9%84%D8%A7-%D8%AA%D8%B2%D8%A7%D9%84-%D9%85%D9%88%D8%AC%D9%88%D8%AF%D8%A9"" target=""_blank"">Al Araby</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
96,incident,31.53315,34.47295,2024-10-14,50,"10 killed, 40 wounded",Israeli airstrike hit an UNRWA centre as civilians waited for aid distribution. Sources report at least 40 wounded.,"<a href=""https://www.unrwa.org/resources/reports/unrwa-situation-report-144-situation-gaza-strip-and-west-bank-including-east-jerusalem"" target=""_blank"">UNRWA</a><br><a href=""https://www.ochaopt.org/content/humanitarian-situation-update-229-gaza-strip"" target=""_blank"">OCHA</a><br><a href=""https://x.com/UNRWA/status/1845930999416533406"" target=""_blank"">UNRWA</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
97,incident,,,2024-10-21,8,"6 killed, 2 wounded",An Israeli airstrike hit people collecting water in Jabalia. Sources say six killed and others wounded. We recorded two wounded.,"<a href=""https://www.ochaopt.org/content/humanitarian-situation-update-231-gaza-strip"" target=""_blank"">OCHA</a><br><a href=""https://english.wafa.ps/Pages/Details/150607"" target=""_blank"">Wafa</a><br><a href=""https://x.com/AJA_Palestine/status/1848276546005475738"" target=""_blank"">Al Jazeera</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
98,incident,31.54780502,34.4558425,2024-10-25,13,"11 killed, 2 wounded","Two Israeli airstrikes in rapid succession hit a vehicle near a mosque where aid was being distributed, killing civilian aid committee volunteers and people waiting for assistance. ","
<a href=""https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D8%BA%D8%B2%D8%A9-%D9%85%D9%82%D8%AA%D9%84-9-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D8%A8%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D8%AF%D9%86%D9%8A%D9%8A%D9%86-%D8%A8%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D8%B4%D8%A7%D8%B7%D8%A6-/3374545"" target=""_blank"">Anadolu</a><br><a href=""https://x.com/AlarabyTV/status/1849833770053984359"" target=""_blank"">AlarabyTV</a><br><a href=""https://www.alhaq.org/ar/advocacy/24813.html"" target=""_blank"">Al Haq</a><br><a href=""https://www.youtube.com/watch?v=Bn1kJWk4NAQ"" target=""_blank"">Quds</a><br><a href=""https://www.youtube.com/watch?v=00yDX3aRF24"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.instagram.com/reel/DBkGqe9tkeG/"" target=""_blank"">Al Hadath</a>",,,,
99,incident,31.54780502,34.4558425,2024-10-29,8,"6 killed, 2 wounded","Israeli forces, reportedly tanks, hit a group of people waiting for aid near a mosque in Gaza City. The same mosque was targeted on 25 October. Sources vary on the number of wounded, from unspecified to dozens. We recorded two. ","<a href=""https://pchrgaza.org/ar/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D9%88%D8%A7%D8%B5%D9%84-%D8%AC%D8%B1%D8%A7%D8%A6%D9%85%D9%87-%D8%B4%D9%85%D8%A7%D9%84-%D8%BA%D8%B2%D8%A9-%D9%88%D9%8A%D9%83%D8%AB%D9%81-%D8%A7/"" target=""_blank"">PCHR</a><br><a href=""https://t.me/newpress1/95706"" target=""_blank"">New Press</a><br><a href=""https://t.me/AjaNews/314082"" target=""_blank"">Al Jazeera</a><br><a href=""https://t.me/QudsN/487620"" target=""_blank"">https://t.me/QudsN/487620</a><br><a href=""https://t.me/Qudsn_Brk/72072"" target=""_blank"">Quds</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
100,event,,,2024-11-07,,First aid delivery to North Gaza since 2 October,WFP is able dispatch a convoy to North Gaza with food for the first time in over a month. The goods are offloaded by desperate people before they reach their destination. ,"<a href=""https://reliefweb.int/report/occupied-palestinian-territory/wfp-palestine-emergency-response-external-situation-report-39-12-november-2024"" target=""_blank"">WFP</a><br><a href=""https://www.oxfam.org/en/press-releases/just-twelve-aid-trucks-food-and-water-north-gaza-governorate-25-months"" target=""_blank"">Oxfam</a>",,,,
101,incident,31.53722,34.49639,2024-11-09,5,"2 killed, 3 wounded","Israeli fire, reportedly from tanks, hit people collecting water in Jabalia. Reports say several wounded. We recorded three.","<a href=""https://www.alghad.tv/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%BA%D8%AF/news/3798-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D9%885300-%D9%85%D8%B9%D8%AA%D9%82%D9%84-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-400-%D9%8A%D9%88%D9%85-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%AF%D9%88%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%BA%D8%B2%D8%A9"" target=""_blank"">Al Ghad</a><br><a href=""https://snd.ps/post/127771/%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9-400-%D9%8A%D9%88%D9%85-%D9%85%D9%86-%D8%A7%D9%84%D9%86%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D8%A5%D8%A8%D8%A7%D8%AF%D8%A9-%D8%AA%D8%AA%D8%B5%D8%A7%D8%B9%D8%AF"" target=""_blank"">Sanad</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
102,incident,31.5011,34.4683,2024-11-09,7,"5 killed, 2 wounded","An Israeli strike, likely either drone or tank fire, hit a group of people near an aid warehouse. Reports say five killed and others wounded. We recorded two wounded. ","<a href=""https://www.alhaq.org/ar/advocacy/24962.html"" target=""_blank"">Al Haq</a><br><a href=""https://www.almayadeen.net/news/politics/%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D8%B9%D8%A9-%D8%AA%D9%86%D8%AA%D8%B4%D8%B1-%D9%81%D9%8A-%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9---%D9%88%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9--%D8%A7%D9%84%D8%AA%D8%AD%D8%B0%D9%8A%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%BA%D8%B0%D8%A7"" target=""_blank"">Al Mayadeen</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
103,event,,,2024-11-11,,Second aid delivery to North Gaza since 2 October,"WFP delivers two trucks of food and water to an UNRWA shelter in Beit Hanoun. It had planned to deliver 14, but Israeli authorisation delays and other challenges led to its reduction in size. ","<a href=""https://reliefweb.int/report/occupied-palestinian-territory/wfp-palestine-emergency-response-external-situation-report-39-12-november-2024"" target=""_blank"">WFP</a><br><a href=""https://x.com/WFP/status/1856426467577434465"" target=""_blank"">WFP</a>",,,,
104,incident,31.545,34.495,2024-11-11,0,No reported casualties,"Israeli artillery shelling or airstrikes hit the area around an UNRWA shelter shortly after a World Food Programme convoy delivered aid. On 12 November, Israeli troops surrounded the shelter, forced people to leave, and then set the shelter on fire. There were no reported casualties from the initial strikes. However, two people were reportedly killed and others wounded during the forced evacuation. ","<a href=""https://www.unocha.org/publications/report/occupied-palestinian-territory/humanitarian-situation-update-237-gaza-strip-enar"" target=""_blank"">OCHA</a><br><a href=""https://reliefweb.int/report/occupied-palestinian-territory/wfp-palestine-emergency-response-external-situation-report-39-12-november-2024"" target=""_blank"">WFP</a><br><a href=""https://t.me/QudsN/493839"" target=""_blank"">Quds</a><br><a href=""https://t.me/QudsN/493830"" target=""_blank"">Quds</a><br><a href=""https://www.alhaq.org/ar/advocacy/24962.html"" target=""_blank"">Al Haq</a><br><a href=""https://www.youtube.com/watch?v=1POURogmW-s"" target=""_blank"">Al Araby</a><br><a href=""https://www.aa.com.tr/en/middle-east/hundreds-forced-to-flee-beit-hanoun-amid-israeli-onslaught-in-northern-gaza/3391401"" target=""_blank"">Anadolu</a><br><a href=""https://english.wafa.ps/Pages/Details/151571"" target=""_blank"">Wafa</a><br><a href=""https://t.me/sndnewsa/346912"" target=""_blank"">Sanad</a><br><a href=""https://aja.ws/18n6e4?update=7059736"" target=""_blank"">Al Jazeera</a>",,,,
105,incident,31.533701,34.448318,2024-11-12,14,"12 killed, 2 wounded","Israeli shelling hit a residential building near where civilians waited for aid to arrive, leaving at least 14 casualties. This incident happened the day after a successful World Food Programme delivery, and on the same day as another attempted aid delivery in the same area. Reports do not specify the number of wounded. We recorded two. ","<a href=""https://english.wafa.ps/Pages/Details/153399"" target=""_blank"">Wafa</a><br><a href=""https://www.unocha.org/news/todays-top-news-occupied-palestinian-territory-lebanon-somalia"" target=""_blank"">OCHA</a><br><a href=""https://aje.io/pxmfbw?update=3319562"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.alaraby.com/news/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9-%D9%88%D8%AE%D8%A7%D9%86%D9%8A%D9%88%D9%86%D8%B3-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%8A%D9%86%D8%AA%D8%B8%D8%B1%D9%88%D9%86-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA"" target=""_blank"">Al Araby</a><br><a href=""https://x.com/aa_arabic/status/1856374476977459700"" target=""_blank"">Anadolu</a>",,,,
106,event,,,2024-11-12,,"Second total siege of Jabalia, Beit Lahia, and Beit Hanoun",Israel again blocks all UN aid from entering the northern most areas of Gaza from 12 November to 20 December 2024 as major military operation continues.,,,,,
107,incident,31.53861,34.50111,2024-11-23,4,"2 killed, 2 wounded",Israeli troops fired on people collecting water outside Kamal Odwan Hospital. Sources do not specify the number of wounded. We recorded two.,"<a href=""https://www.wafa.ps/Pages/Details/108453"" target=""_blank"">Wafa</a><br><a href=""https://t.me/QudsN/499020"" target=""_blank"">Quds</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
108,incident,31.45,34.385,2024-11-28,4,4 wounded,"Israeli airstrike targeted a soup kitchen in Nuseirat, killing at least two. Quadcopter drones and artillery targeted the same area hours later. A house next to the soup kitchen was destroyed in another airstrike two days later. ","<a href=""https://www.aljazeeramubasher.net/news/politics/2024/11/28/%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D9%86%D8%B5%D9%8A%D8%B1%D8%A7%D8%AA-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%B7%D8%A7%D8%A7%D8%A6%D8%B1%D8%A9"" target=""_blank"">Al Jazeera</a><br><a href=""https://x.com/qudsn/status/1862043961260388593"" target=""_blank"">Quds</a><br><a href=""https://www.facebook.com/watch/?v=887697473480564"" target=""_blank"">Al Hadath</a><br><a href=""https://t.me/hamza20300/313721"" target=""_blank"">https://t.me/hamza20300/313721</a><br><a href=""https://www.youtube.com/watch?v=FQ_Gs7pFA8c"" target=""_blank"">Al Kofiya</a>",,,,
109,incident,31.445,34.398,2024-12-04,20,"5 killed, 15 wounded",Israeli airstrike hit people waiting in front of a soup kitchen and bakery. Most of the casualties were children. Some sources say more than 15 wounded. We recorded 15. ,"<a href=""https://www.wafa.ps/Pages/Details/109191"" target=""_blank"">Wafa</a><br><a href=""https://www.youtube.com/watch?v=NdcP3-zpEmA"" target=""_blank"">Al Jazeera</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
110,incident,31.533701,34.448318,2025-01-02,14,"4 killed, 10 wounded",Israeli drone strike hit people carrying aid packages which they had just picked up. ,"<a href=""https://www.aljazeera.net/news/2025/1/2/%D8%AA%D8%B5%D8%B9%D9%8A%D8%AF-%D8%AF%D9%85%D9%88%D9%8A-%D8%B9%D9%84%D9%89-%D8%BA%D8%B2%D8%A9-%D9%88%D8%AD%D9%85%D8%A7%D8%B3-%D8%AA%D8%B5%D9%81-%D8%A7%D9%84%D8%AA%D8%AE%D8%A7%D8%B0%D9%84"" target=""_blank"">Al Jazeera</a><br><a href=""https://t.me/saedalzaneen8/137873"" target=""_blank"">https://t.me/saedalzaneen8/137873</a><br><a href=""https://t.me/safaps/269821"" target=""_blank"">https://t.me/safaps/269821</a><br><a href=""https://t.me/safaps/269781"" target=""_blank"">https://t.me/safaps/269781</a><br><a href=""https://t.me/safaps/269792"" target=""_blank"">https://t.me/safaps/269792</a>",,,,
111,incident,31.5011,34.4683,2025-01-03,11,"9 killed, 2 wounded","Israeli airstrike hit people waiting for food packages outside an aid warehouse; casualties included four children and one woman. The same immediate area was hit by an airstrike on 1 January, without reported casualties. ","<a href=""https://wafa.ps/Pages/Details/111146"" target=""_blank"">Wafa</a><br><a href=""https://youtu.be/pj3MWm_zzrg?t=265"" target=""_blank"">Alaraby</a><br><a href=""https://www.youtube.com/watch?v=UEF6wr-MNUU&t=74s"" target=""_blank"">Al Jazeera</a><br><a href=""https://t.me/hamza20300/323005"" target=""_blank"">https://t.me/hamza20300/323005</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://t.me/asmailpress/217324"" target=""_blank"">https://t.me/asmailpress/217324</a><br><a href=""https://t.me/muhamadalsharif/419946"" target=""_blank"">https://t.me/muhamadalsharif/419946</a>",,,,
112,incident,31.47977,34.442282,2025-01-15,16,"6 killed, 10 wounded","Israeli airstrike hit a soup kitchen inside the Israeli-declared humanitarian safe zone in al-Mawasi. Early reports say four wounded, and later reports say 10. We recorded 10. ","<a href=""https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D9%85%D9%82%D8%AA%D9%84-6-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D8%A8%D9%8A%D9%86%D9%87%D9%85-%D8%A3%D8%B3%D9%8A%D8%B1-%D9%85%D8%AD%D8%B1%D8%B1-%D9%88%D8%B5%D8%AD%D9%81%D9%8A-%D8%A8%D9%82%D8%B5%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%B9%D9%84%D9%89-%D8%AA%D9%83%D9%8A%D8%A9-%D8%A8%D8%BA%D8%B2%D8%A9/3451616"" target=""_blank"">Anadolu</a><br><a href=""https://t.me/QudsN/518327"" target=""_blank"">Quds</a><br><a href=""https://www.aljazeeramubasher.net/news/politics/2025/1/15/%D8%AA%D8%B2%D8%A7%D9%85%D9%86%D8%A7-%D9%85%D8%B9-%D8%A7%D9%82%D8%AA%D8%B1%D8%A7%D8%A8-%D8%B5%D9%81%D9%82%D8%A9-%D9%88%D9%82%D9%81-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1"" target=""_blank"">Al Jazeera</a>",,,,
113,event,,,2025-01-19,,Ceasefire begins,"After 470 days of brutal Israeli military assualt and siege, Israel and Hamas agree to a three-phase ceasefire deal. Although, whether the deal will lead to a permanent end to the war is highly uncertain. We recorded no attacks on people seeking aid during the ceasefire. However, we did record several attacks on local police guarding aid convoys during this period. ",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2025-09/05GazaDataIMG.jpg.webp?itok=7e2tNprw,Majdi Fathi/NurPhoto,,
114,event,,,2025-03-02,,Israel imposes total siege on Gaza,"Israel closes all crossings into Gaza, blocking humanitarian aid and commercial goods. The siege is announced just after the beginning of the Muslim holy month of Ramadan. Previously, an average of 600 trucks had been entering Gaza per day during the ceasefire. ",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2025-09/06GazaDataIMG.jpg.webp?itok=espxczNk,Mahmoud Issa/Reuters,,
115,event,,,2025-03-18,,Israel withdraws from ceasefire,"The Israeli military launches a massive wave of airstrikes across Gaza, killing over 400 Palestinians, ending the ceasefire that last for nearly two months. Israeli Prime Minister Benjamin Netanyahu warns that the airstrikes are ""only the beginning"". <br><br><a href=""https://www.thenewhumanitarian.org/opinion/first-person/2025/03/24/war-never-ended-returns-gaza"" target=""_blank"">Read more→</a>",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2025-09/07GazaDataIMG.jpg.webp?itok=dn7udrAV,Majdi Fathi/NurPhoto,,
116,incident,31.4476556,34.392875,2025-03-26,11,"5 killed, 6 wounded","Israeli airstrike hit a soup kitchen as civilians waited for food, killing one volunteer with World Central Kitchen, which supplied the soup kitchen. Most of the casualties were children. Some sources report 15 or more wounded. World Central Kitchen confirmed six wounded to The New Humanitarian via email. ","<a href=""https://www.ochaopt.org/content/humanitarian-situation-update-277-gaza-strip"" target=""_blank"">OCHA</a><br><a href=""https://pchrgaza.org/israel-perpetuates-its-starvation-policy-targeting-field-kitchens-and-gatherings-of-civilians-desperately-lining-up-for-simple-meals-in-gaza/"" target=""_blank"">PCHR</a><br><a href=""https://x.com/ajplusarabi/status/1905217798693171693"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aa.com.tr/ar/%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84/%d8%ad%d8%b5%d9%8a%d9%84%d8%a9-%d8%a7%d9%84%d9%82%d8%aa%d9%84%d9%89-%d8%a8%d8%ba%d8%b2%d8%a9-%d8%a7%d9%84%d8%a3%d8%b1%d8%a8%d8%b9%d8%a7%d8%a1-%d8%aa%d8%b1%d8%aa%d9%81%d8%b9-%d8%a5%d9%84%d9%89-28-%d8%a8%d8%b9%d8%af-%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa-%d9%85%d8%b3%d8%a7%d8%a6%d9%8a%d8%a9-%d9%85%d9%83%d8%ab%d9%81%d8%a9-/3520766"" target=""_blank"">Anadolu</a><br><a href=""https://www.alghad.tv/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%BA%D8%AF/news/%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%B5%D9%8A%D8%B1%D8%A7%D8%AA-11-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7-%D9%8815-%D9%85%D8%B5%D8%A7%D8%A8%D8%A7-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D8%AE%D9%8A%D9%85%D8%A9-%D9%88%D8%AA%D9%83%D9%8A%D8%A9-%D8%B7%D8%B9%D8%A7%D9%85"" target=""_blank"">Al Ghad</a><br><a href=""https://www.aljazeera.com/news/liveblog/2025/3/27/live-israels-relentless-bombardment-kills-26-palestinians-in-gaza"" target=""_blank"">Al Jazeera</a><br><a href=""https://edition.cnn.com/2025/03/27/middleeast/aid-workers-killed-missing-gaza-israel-intl-latam/index.html"" target=""_blank"">CNN</a><br><a href=""https://wck.org/news/gaza-update-3-27"" target=""_blank"">World Central Kitchen</a>",,,,
117,incident,31.5011,34.4683,2025-03-29,5,"2 killed, 3 wounded",Israeli airstrike hit a soup kitchen in Gaza City. Sources report several wounded. We recorded two.,"<a href=""https://www.youtube.com/watch?v=1ljIhPPQlGU"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aljazeera.net/news/2025/3/29/%D8%B9%D8%A7%D8%AC%D9%84-%D8%A7%D9%84%D9%82%D9%86%D8%A7%D8%A9-%D9%A1%D9%A2-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D9%8A%D8%B4%D9%86"" target=""_blank"">Al Jazeera</a><br><a href=""https://t.me/mohnadQ/50819"" target=""_blank"">https://t.me/mohnadQ/50819</a><br><a href=""https://t.me/Qudsn_Brk/86016"" target=""_blank"">Quds</a><br><a href=""https://t.me/AjaNews/362456"" target=""_blank"">Al Jazeera</a>",,,,
